MSN,YYYYMM,Value,Column_Order,Description,Unit
RETCBUS,200101,447.071,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200102,404.482,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200103,456.138,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200104,424.538,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200105,434.871,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200106,451.264,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200107,438.441,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200108,445.558,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200109,395.833,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200110,412.275,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200111,401.017,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200112,448.48,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200201,474.999,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200202,428.795,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200203,456.497,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200204,488.025,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200205,527.249,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200206,533.004,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200207,525.794,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200208,469.223,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200209,431.011,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200210,445.36,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200211,458.059,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200212,488.101,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200301,467.763,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200302,440.76,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200303,506.114,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200304,509.86,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200305,557.681,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200306,548.222,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200307,523.846,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200308,502.37,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200309,445.417,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200310,452.114,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200311,463.794,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200312,526.219,13,Total Renewable Energy Consumption,Trillion Btu
